symbol,cik,accession,okres,data_zlozenia,akceptacja_et,klasa,sesja_reakcji,znacznik_json,json_zgodny
AVGO,1730168,0001730168-23-000074,2023-08-31,2023-08-31,2023-08-31 17:18:57,AMC,2023-09-01,2023-08-31T21:18:57.000Z,tak
TSLA,1318605,0000950170-23-050938,2023-10-02,2023-10-02,2023-10-02 09:05:38,BMO,2023-10-02,2023-10-02T13:05:38.000Z,tak
TSLA,1318605,0001628280-23-034588,2023-10-18,2023-10-18,2023-10-18 16:15:00,AMC,2023-10-19,2023-10-18T20:15:00.000Z,tak
GOOGL,1652044,0001652044-23-000088,2023-10-18,2023-10-24,2023-10-24 16:01:23,AMC,2023-10-25,2023-10-24T20:01:23.000Z,tak
MSFT,789019,0000950170-23-054848,2023-10-24,2023-10-24,2023-10-24 16:03:29,AMC,2023-10-25,2023-10-24T16:03:29.000Z,NIE
META,1326801,0001326801-23-000100,2023-10-25,2023-10-25,2023-10-25 16:20:51,AMC,2023-10-26,2023-10-25T20:20:51.000Z,tak
AMZN,1018724,0001018724-23-000016,2023-10-26,2023-10-26,2023-10-26 16:14:51,AMC,2023-10-27,2023-10-26T20:14:51.000Z,tak
AAPL,320193,0000320193-23-000104,2023-11-02,2023-11-02,2023-11-02 16:30:32,AMC,2023-11-03,2023-11-02T20:30:32.000Z,tak
NVDA,1045810,0001045810-23-000225,2023-11-21,2023-11-21,2023-11-21 16:22:00,AMC,2023-11-22,2023-11-21T21:22:00.000Z,tak
AVGO,1730168,0001730168-23-000093,2023-12-07,2023-12-07,2023-12-07 16:18:51,AMC,2023-12-08,2023-12-07T21:18:51.000Z,tak
TSLA,1318605,0000950170-24-000282,2024-01-02,2024-01-02,2024-01-02 16:29:17,AMC,2024-01-03,2024-01-02T21:29:17.000Z,tak
TSLA,1318605,0000950170-24-007073,2024-01-24,2024-01-24,2024-01-24 17:24:27,AMC,2024-01-25,2024-01-24T22:24:27.000Z,tak
GOOGL,1652044,0001652044-24-000014,2024-01-30,2024-01-30,2024-01-30 16:01:26,AMC,2024-01-31,2024-01-30T21:01:26.000Z,tak
MSFT,789019,0000950170-24-008809,2024-01-30,2024-01-30,2024-01-30 16:03:17,AMC,2024-01-31,2024-01-30T16:03:17.000Z,NIE
AMZN,1018724,0001018724-24-000006,2024-02-01,2024-02-01,2024-02-01 16:06:02,AMC,2024-02-02,2024-02-01T21:06:02.000Z,tak
META,1326801,0001326801-24-000010,2024-02-01,2024-02-01,2024-02-01 16:10:29,AMC,2024-02-02,2024-02-01T21:10:29.000Z,tak
AAPL,320193,0000320193-24-000005,2024-02-01,2024-02-01,2024-02-01 16:30:30,AMC,2024-02-02,2024-02-01T21:30:30.000Z,tak
NVDA,1045810,0001045810-24-000028,2024-02-21,2024-02-21,2024-02-21 16:22:09,AMC,2024-02-22,2024-02-21T21:22:09.000Z,tak
AVGO,1730168,0001730168-24-000012,2024-03-07,2024-03-07,2024-03-07 16:18:09,AMC,2024-03-08,2024-03-07T21:18:09.000Z,tak
TSLA,1318605,0000950170-24-040274,2024-04-02,2024-04-02,2024-04-02 16:47:22,AMC,2024-04-03,2024-04-02T20:47:22.000Z,tak
TSLA,1318605,0000950170-24-046895,2024-04-23,2024-04-23,2024-04-23 16:09:55,AMC,2024-04-24,2024-04-23T20:09:55.000Z,tak
